,cohen_d
1066,-0.9252086843006183
1067,0.507055086153149
1068,-2.7402099789964884
1069,-2.52597649039149
1070,-4.3451891194697145
1071,-2.6489859970393472
1072,-2.9198030976119096
1073,-4.372359912547751
1074,-3.168338150415182
1075,-3.926810831081202
1076,-3.5528514254801484
1077,-3.314750080242327
1078,-2.725191063791219
1079,-5.581712463481573
1080,-1.7903506144079764
1081,-2.087649770890118
1082,-5.473760521045354
1083,-3.5857163488310975
1084,-3.667746124057368
1085,-4.276967918093974
1086,-3.355726613702745
1087,-3.5900341923310264
1088,-4.003710877607309
1089,-5.003340538773564
1090,-3.2367514861852227
1091,-3.245832315395003
1092,-2.878167148173002
1093,-4.074770543162766
1094,-2.1009003328181
1095,-4.6915298093262106
1096,-2.9781762018525337
1097,-3.868222429122564
1098,1.0475556240929609
1099,1.159956286408075
1100,-5.062682352663317
1101,-0.212801044576558
1102,-1.6785140472762892
1103,-3.2542114410898257
1104,-0.8289652398212072
1105,-3.5710875573477163
1106,-4.861362300074534
1107,-5.369338204200221
1108,-3.489063190717788
1109,-1.9652164164042796
1110,-2.0472718703193666
1111,-1.4588976773857019
1112,-1.5085380626205467
1113,-2.685675027738368
1114,-3.9518784991687355
1115,0.29305715558497375
1116,-3.6808531742353203
1117,-5.590300365687412
1118,-2.037938609559317
1119,-2.555245768833848
1120,-4.64966474451746
1121,-2.0710973640308232
1122,-4.137936017958259
1123,-1.5370308396382675
1124,-3.0841444834157126
1125,-4.939749385338403
1126,-2.2526878442029914
1127,-3.6643658762964724
1128,-1.666659389420594
1129,-3.199926141521387
1130,-3.8957685028064044
1131,-2.5833636844623253
1132,-3.3091877710909166
1133,-3.155536873870478
1134,-3.827020519663299
1135,-3.751856174494634
1136,-4.111375166569983
1137,-3.99321025451781
1138,-1.8516193443506304
1139,-0.2370639073610194
1140,-3.2789028967200298
1141,-2.6804135468110903
1142,-3.1476199911376614
1143,-3.078934750109823
1144,-1.320596131459389
1145,-2.485847924039872
1146,-3.0975021134925558
1147,-4.106459161187543
1148,-4.4536076002004865
1149,-2.9923749082431548
1150,-3.5277953323144984
1151,-0.6444363468914043
1152,-5.105653429330565
1153,-4.698248767667288
1154,-3.441589813262404
1155,-4.117481567755288
1156,-4.764909890881209
1157,-5.047630746171527
1158,-3.2967234006162958
1159,-4.01250281010891
1160,-3.8513701060465078
1161,-2.2116227127722086
1162,-3.4972221086748383
1163,-4.001163523532975
1164,-3.1441316160457577
1165,-2.398659794751809
1166,-4.7964396155493425
1167,-0.22324137397532162
1168,-1.1194508884360188
1169,-4.039739565784296
1170,-0.3678827464725328
1171,-3.391010716274328
1172,-3.17977380725067
1173,-6.519991500452054
1174,-3.7152273697542375
1175,-2.4703278892773706
1176,-5.166929676532578
1177,1.8022278416817195
1178,-2.443452992324857
1179,-1.9080504747033211
1180,-3.3824130660014644
1181,-2.0414561162221125
1182,-1.9099053613307746
1183,-4.5437719853773055
1184,-3.1257849942544467
1185,-4.008660412860185
1186,-4.682366478992876
1187,-4.253492354228745
1188,-3.357824646031048
1189,-4.293066182004184
1190,-2.1639390844763517
1191,-3.2737830717856666
1192,-4.100570482682138
1193,-4.285787628823742
1194,-3.5847556358585533
1195,-4.336077037859577
1196,-4.489216927814863
1197,-3.158596425534116
1198,-2.8267270951535104
1199,-4.130530354005673
1200,-3.7502014723060175
