index,cohen_d
2696,-2.904354423865071
2139,-2.8946803308890563
1346,-2.892626318902119
1610,-2.888383629393183
3959,-2.8817989790173786
3719,-2.881434958204538
606,-2.879282932147353
4076,-2.8784950150991984
3335,-2.8679872277179417
579,-2.8634079499490603
554,-2.861053072356789
2265,-2.8570569368382985
2339,-2.8501666897944364
2626,-2.8362440383941934
2737,-2.8356139883432947
2381,-2.8315445285530045
125,-2.8238232564757424
3884,-2.8188245790276683
572,-2.807095116429369
3400,-2.7995000141609734
3575,-2.789156732824861
4067,-2.7859371551848664
2352,-2.7859064766589547
35,-2.7791948623220635
653,-2.778116784188972
2145,-2.7669319299992874
2361,-2.753218070628352
895,-2.751070848620985
714,-2.7440763894582365
594,-2.731151882365028
276,-2.7307890832267705
333,-2.729112836611872
1356,-2.7260505837454327
565,-2.7257058007765345
1613,-2.7243940481062032
1004,-2.72345941807415
1681,-2.7194009235844985
3272,-2.714191707250386
1384,-2.7130214723140837
3042,-2.704079775155137
4022,-2.689697275545986
1229,-2.6857228671706497
3118,-2.6833313029468284
3437,-2.682742818987768
3361,-2.677938535885404
2225,-2.6681177837547625
1430,-2.664334391533913
2888,-2.6590091919060344
2697,-2.6587874500711264
834,-2.6577326977722504
990,-2.6498540445502643
1071,-2.6489859970393472
2279,-2.6455026057659747
1532,-2.644313409915232
1253,-2.644028902673349
40,-2.6408240743339992
782,-2.640572832662125
376,-2.6367699607329
1307,-2.6248387212714563
3618,-2.624300178655407
231,-2.6239285954378206
1507,-2.621040318568885
804,-2.6109183049177616
42,-2.606869379309763
524,-2.60611618182135
403,-2.6018802953073923
2755,-2.594236904407023
3282,-2.587592998665629
303,-2.586151783858527
3206,-2.58513191783001
3455,-2.584657537744028
419,-2.5828416409211266
240,-2.578509570540522
124,-2.5770568744565976
821,-2.576795150670149
774,-2.5725504332265983
612,-2.572260875921857
370,-2.56830204683665
3559,-2.563076587513167
1970,-2.562253558042378
1680,-2.559273175441588
478,-2.557954562051018
128,-2.5565292809462057
404,-2.5561664728993523
3178,-2.555494576384197
407,-2.5554025297607925
3038,-2.5405955355101817
355,-2.5285314859883896
3522,-2.527708831610036
563,-2.5197843377285114
504,-2.5194887548639304
3075,-2.5168553712358044
1335,-2.5160145093146222
1006,-2.511600010902475
1308,-2.509666584861613
943,-2.5085983817521265
2414,-2.4942616314447004
305,-2.4893679459337608
148,-2.487000789837135
2435,-2.483943869354936
1642,-2.4762081829928912
2407,-2.47347178375851
383,-2.4718929656058903
1443,-2.467918059870065
726,-2.438158614714979
3557,-2.435112883712028
3130,-2.4337973429869937
51,-2.429954333659329
2969,-2.428220764082576
2140,-2.4251664773927764
3405,-2.423641815383562
3827,-2.420962309705313
3147,-2.4164995684936774
3828,-2.4129401878789265
4023,-2.409291252534412
2227,-2.401914813642457
3351,-2.395354788750913
2316,-2.39513769561263
1332,-2.395031424141372
2108,-2.389237940829116
87,-2.382852156721066
1915,-2.3795871696430666
3709,-2.373953270749356
528,-2.37026607283959
1732,-2.356263199050732
1864,-2.355925075203082
2598,-2.354894758495365
803,-2.3477298634145205
1548,-2.3457483008883213
2030,-2.3363632530580003
4044,-2.333129606119128
3577,-2.314709464263801
2616,-2.3138627480933653
239,-2.3013991679863475
3029,-2.296797160902317
3109,-2.2938417351989866
1052,-2.2916398028663565
3915,-2.278535863248657
2333,-2.278054868979118
713,-2.2767650537258346
3363,-2.273663214238674
3217,-2.2729969359176345
851,-2.26856703097133
2330,-2.266175850250187
1715,-2.2600871688586057
2239,-2.2512881043871147
3274,-2.2477013751581434
258,-2.2310068639643568
3242,-2.227038791960434
1063,-2.2165288579835374
2915,-2.2147439652137084
1244,-2.211573439929844
527,-2.1959944691268074
1624,-2.194122367290106
3191,-2.189098911158283
1764,-2.1836930426504075
3691,-2.183222808099212
3476,-2.182037016655725
335,-2.181884431424338
279,-2.174361315246906
3139,-2.1695121991089943
2277,-2.168800083207985
2238,-2.1679555259112155
1603,-2.1626234983588364
2623,-2.150690735245963
1413,-2.148881286316316
3420,-2.14690403788855
2045,-2.145297463635444
4000,-2.143140397466716
2380,-2.1399801049199265
108,-2.1384552345288803
1657,-2.1377813435879505
2014,-2.1352826002345107
3681,-2.1310007833297617
1841,-2.1291782530357977
3633,-2.1262580122506107
1637,-2.120875936006964
1538,-2.1195000036964293
743,-2.1128004606967044
2611,-2.1067743227442133
3805,-2.0996942120204456
32,-2.091838642864744
2852,-2.0883278224615407
1782,-2.0865973279107406
3143,-2.086132352623301
540,-2.075451749708056
2258,-2.0735011844787365
1121,-2.0710973640308232
1110,-2.047271870319366
1181,-2.0414561162221125
25,-2.035845301322984
2233,-2.0253041586180505
1762,-2.024016458465607
631,-2.0180807220611072
944,-2.011907359168666
2917,-2.0083839754869053
2303,-2.004988554383547
3088,-1.997869967643767
180,-1.9861608934507309
2655,-1.982523808837194
3365,-1.9759384431348397
2890,-1.968608206670708
2242,-1.9606960133465168
313,-1.9554467855550777
1738,-1.9532481663477104
2762,-1.937323653882988
3905,-1.9333508793691532
4042,-1.9272572991420032
3509,-1.9212830243471568
1231,-1.91356556368688
2736,-1.9128595169200049
2249,-1.9120103661895231
1886,-1.905400763350195
2522,-1.9000855575222635
3028,-1.8972943149312629
3427,-1.896798121380912
1047,-1.8950372036953629
2771,-1.8873894557929527
3993,-1.8809582124615771
1869,-1.8790318102651489
2763,-1.877115349807503
2480,-1.8749731779104504
1530,-1.869127330728924
961,-1.8659938101649003
3834,-1.8651813215376924
1999,-1.863163978061947
1212,-1.8600778654722756
1383,-1.849981023671933
1572,-1.838637315488849
1609,-1.8304794115826464
2583,-1.8268228818670729
870,-1.8093166471156636
1658,-1.808341932583709
912,-1.8078851967948737
2553,-1.7977209025166874
720,-1.7956953864716327
753,-1.791946824354954
1399,-1.7843832168955422
1035,-1.769127134907138
1300,-1.7632081820189516
2072,-1.7589986035451974
2908,-1.750714837823534
2543,-1.747410937980534
2892,-1.7468848856649584
3302,-1.7459943605189356
2595,-1.7451486502408982
886,-1.7406450820149808
68,-1.7359529044956827
2705,-1.7189058619838375
1693,-1.7108962006536896
510,-1.7107581754907089
444,-1.7090456433596033
3081,-1.6915500064561702
3425,-1.6877773425060212
3268,-1.6837853660244044
4012,-1.6773729205836447
1001,-1.667003145944547
1128,-1.666659389420594
924,-1.6568393151611631
578,-1.653084574360764
1966,-1.6525529668844652
155,-1.644208384155811
83,-1.6434630815481197
436,-1.6426409906954786
1460,-1.6331997644652745
973,-1.6310404446392923
2601,-1.6302554749863136
716,-1.6299070243506235
3002,-1.6276931989509258
282,-1.6240608334922135
520,-1.6234398658218792
2347,-1.6222953108990723
493,-1.6186843610030142
2373,-1.6176691716836442
1285,-1.614095781438051
1943,-1.6124930605823782
1416,-1.6101298291690918
3159,-1.5831527287001064
3841,-1.557281015345391
1065,-1.5481041692148387
3771,-1.547775750977204
2000,-1.5344693840241037
778,-1.534132226449887
660,-1.533169257374971
972,-1.5323243912394708
3940,-1.497999175652149
1866,-1.4952938712547628
1976,-1.4899877542264988
960,-1.488382318610287
2187,-1.4883181180023235
905,-1.4732262616844198
2788,-1.469680586586682
3017,-1.4653618343758956
173,-1.445412960006248
1863,-1.4454058827971803
2848,-1.4391602695188304
2161,-1.431700880095048
3937,-1.4300949843556738
1401,-1.4293880975821731
2194,-1.4273278450143965
2426,-1.4233191044089553
1328,-1.423048955566118
3634,-1.4192872203293478
69,-1.4161056951326076
2647,-1.4102457966397233
1216,-1.4002318582026048
2221,-1.3916163098442231
3431,-1.3822236643257275
89,-1.3815435212264189
2691,-1.3812844017585553
474,-1.3712557027368577
3123,-1.3682913106584125
945,-1.3553147805384664
3843,-1.3525290379041743
430,-1.347973572026964
2479,-1.3474947503429628
101,-1.3444098160337397
2144,-1.3378502890890536
3988,-1.337420832367272
4063,-1.3348630294677144
296,-1.3237649997576044
3266,-1.310054240778633
3645,-1.304427606230373
2246,-1.3023625824347365
3345,-1.2973015613841965
846,-1.2920774422177506
2067,-1.2594192617029203
1305,-1.2580238560420884
2203,-1.2570480702083997
2309,-1.25510069912927
3157,-1.238381657503487
3227,-1.2309857863056328
3840,-1.2259695834781554
2173,-1.2122662533987236
2767,-1.2095893041070072
1771,-1.2040763883884635
1690,-1.1971979820464165
200,-1.1905934264939315
1962,-1.1874407896539587
255,-1.1832696590551544
380,-1.17965500330548
2043,-1.1596878279268896
3403,-1.1560249392056443
3181,-1.1462729315915554
861,-1.1428670401614205
435,-1.1407326864789251
1778,-1.1129831033915698
3180,-1.1037015459913715
227,-1.100675204022028
2034,-1.095929475696351
2603,-1.0958768275978004
3908,-1.0950927311337535
718,-1.0785068024061994
3251,-1.0772339579973935
67,-1.063349944661029
2040,-1.0603121441008256
3155,-1.054359227196455
481,-1.0515397067804246
2513,-1.0488424842123762
3461,-1.0487416475620994
3243,-1.0233855320918344
4021,-1.0097645661924215
1242,-1.0063928641230575
3996,-0.9992623456748372
2527,-0.9990553624752948
3692,-0.9688631689623128
3146,-0.9665680039675036
3460,-0.9611402732616522
1654,-0.9588747460000078
669,-0.9546405352328918
1635,-0.94886384572121
270,-0.9467186190750394
1644,-0.9303661051140976
3390,-0.9152039822296604
2760,-0.9070064488161538
3473,-0.8912316757734886
1274,-0.890674621331041
3967,-0.8863779697360916
4026,-0.8752560263189681
1397,-0.874999788953651
1317,-0.8680389757606106
2559,-0.8664609727831092
1602,-0.8629547405550311
1494,-0.8429735494455213
3742,-0.8398919828201892
17,-0.8338007276456395
2359,-0.8276486158660439
137,-0.8265814640634804
968,-0.8123978927726405
3556,-0.800807906926608
3312,-0.7967063945523383
1838,-0.7938749071673057
1500,-0.7875658727119014
2129,-0.7817795227620921
292,-0.7741655301539423
1641,-0.7678563135537985
2036,-0.7671463757384113
1938,-0.7592219140148025
2293,-0.7529847557760092
2010,-0.7431661093562285
756,-0.7428276015958097
3434,-0.7414416438729123
1949,-0.7382039220723647
1776,-0.7244980134335189
1993,-0.7227736516500209
3823,-0.7223661346251508
1284,-0.7218628527700381
1839,-0.7093133138452314
2436,-0.7052740933080202
3131,-0.6979232158957803
3136,-0.6896297078010256
100,-0.6849190241560629
3212,-0.6836669725197121
3489,-0.6723653203060885
1861,-0.6671525869863655
3213,-0.6634780054422628
3098,-0.6620442930898712
1593,-0.6612060925543487
545,-0.6526625971972544
475,-0.6457177954900379
1151,-0.6444363468914043
586,-0.6282973736019034
2478,-0.6266446145877066
37,-0.6143978168836824
1906,-0.6071281453575827
3393,-0.6064017913819922
3007,-0.6037686726483671
1692,-0.6032811506735585
3250,-0.5903895108087945
3731,-0.5903265191237771
3903,-0.5589313054293004
2789,-0.5523095976717579
1708,-0.5484791399522232
2055,-0.5468573739951641
1208,-0.5008553992475552
2946,-0.4969197807579352
3942,-0.4878455715140681
599,-0.4655229296761571
3318,-0.4597548280892818
560,-0.4528609141164053
3164,-0.4446592854422705
2743,-0.4419421389460291
981,-0.4402194014125604
2463,-0.4274012209978901
3736,-0.4262347620227856
2940,-0.425055225776749
2231,-0.4159860015003936
3053,-0.3993797224429231
4050,-0.3947619569083293
3718,-0.3941443280889333
4010,-0.3791780347534476
2453,-0.3726341162397256
1170,-0.3678827464725328
150,-0.3648460271381678
345,-0.3569556289783934
1927,-0.3532319921303489
959,-0.3312941424074858
3497,-0.3288386638260564
319,-0.3261016279651652
144,-0.3141030879841937
568,-0.3083113303668053
1785,-0.2956170481633239
2896,-0.2952584273432133
2200,-0.2670504880509816
3099,-0.2616930833953239
2938,-0.2535924957954823
3490,-0.2415216017816612
1743,-0.2374495943829937
1139,-0.2370639073610194
2025,-0.2355400001001325
3204,-0.2258335226367933
1167,-0.2232413739753216
2505,-0.2159110316710675
458,-0.2141515703281802
1933,-0.2123257121799007
361,-0.2015200731483021
2620,-0.1999498811602665
2599,-0.1950727868013734
941,-0.1900781248889376
3215,-0.1862240929462881
48,-0.1720608830063106
3510,-0.1526162963423277
3563,-0.1213282349990635
4077,-0.0986856342072143
1024,-0.0541500271203119
2035,-0.0539881669862037
1794,-0.0511898504760841
3137,-0.0470046594123052
3888,-0.0466665430564684
3078,-0.0347166487357568
1701,-0.0291239739641623
2741,-0.0252092857463694
388,-0.0142687189808016
2832,-0.0024236445179213
