index,cohen_d
1688,0.5824554073302036
1842,0.573791247191429
878,0.57090001089524
1068,0.5698758057372615
2834,0.5695413911322394
2268,0.5687286077645315
1594,0.5681242108482194
3963,0.5675690900493136
1285,0.5672260767931326
2719,0.5668827535972364
3384,0.5654291766145
1583,0.5618379847314233
2619,0.5607850546274815
1597,0.5606566976199902
815,0.556933419005003
1003,0.5565381284247518
455,0.551648387382533
2514,0.5496563997762569
2402,0.5482988605194522
1066,0.5462998546563801
2698,0.545917041526104
2145,0.5454883701384124
3874,0.5440517837637328
3135,0.5436473419670829
1227,0.5411851415339214
2668,0.5409189686116136
684,0.5350240620439083
1672,0.5329357271360153
1127,0.5316079978672703
1831,0.5314068689759104
3914,0.5311305311214259
100,0.5310104805339178
2738,0.5305985251549739
3311,0.53023191241071
760,0.5258647412791211
3689,0.5251358603081322
882,0.5239599434424369
335,0.5220859889943016
3833,0.5213737238559203
3099,0.5210513683355292
2984,0.5203868648584056
2050,0.5149318950143665
3544,0.512002551066719
1882,0.5118549422826167
155,0.5114613131029411
2955,0.5108853376868149
3655,0.5097618732913187
3791,0.5093611915883544
2945,0.5089132594050415
2923,0.5075219631514983
3005,0.5038794362781538
2859,0.5038048966552969
1311,0.4992903483151402
826,0.4988647647641534
3338,0.4969162431054954
1442,0.4954706683298868
3326,0.4953055264296982
3246,0.4952029737446697
3708,0.4931404715297873
432,0.4930875143547407
3454,0.4846395686326988
3045,0.4844541550483187
2450,0.4790168893744214
2109,0.4786855202054954
396,0.4786447040834885
992,0.4777615943203092
3835,0.4752076175790298
3820,0.4718438181224575
1177,0.4712718801207375
1646,0.4700007433089845
1649,0.4693552648189792
2021,0.4691955732927995
3576,0.4669114319870764
1371,0.466064426912901
647,0.4656918747192815
2888,0.465056759084077
614,0.4641233047268341
1592,0.4613386908931813
2438,0.4600534114555814
2810,0.4583156713376115
3240,0.4568969084272588
