,mean,std
577,-1.3881141,0.6401938
578,-1.3292316,0.7103438
579,-1.7616047,0.6978605
580,-1.0622461,0.7445246
581,-1.1294954,0.72743887
582,-1.1232364,0.7548429
583,-1.0085452,0.73189306
584,-0.725906,0.7073658
585,-0.99337256,0.74345905
586,-0.966983,0.6960513
587,-1.1249474,0.69321746
588,-1.5798713,0.7718241
589,-0.49709177,0.7361509
590,-1.6912442,0.84836435
591,-1.3076007,0.7025588
592,-0.8217795,0.72771496
593,-1.8806818,0.818632
594,-2.1408868,0.9474749
595,-1.9000255,0.8441491
596,-2.479075,0.8553263
597,-1.2459265,0.6793224
598,-0.9388044,0.6970079
599,-1.6410229,0.7109216
600,-1.0856079,0.7550724
601,-0.872418,0.68834794
602,-2.0711997,0.5677588
603,-1.424643,0.7738788
604,-1.2331333,0.6662009
605,-1.2883744,0.719466
606,-0.6626813,0.6986225
607,-0.7663676,0.7097564
608,-1.538667,0.7931918
609,-1.0128216,0.7306514
610,-1.3562454,0.6926822
611,-0.8484196,0.6933486
612,-1.0204926,0.72785115
613,-0.87853515,0.75338405
614,-1.0893501,0.7740803
615,-1.095796,0.677855
616,-1.6168883,0.8680229
617,-1.3312823,0.7257673
618,-0.847759,0.73256993
619,-1.6817781,0.7570509
620,-1.6792142,0.7999386
621,-2.5122821,0.8575332
622,-1.9977604,0.78574795
623,-1.0675188,0.6347285
624,-0.9935756,0.6372353
625,-2.0252893,0.9245209
626,-1.2716824,0.76840186
627,-1.0895687,0.7448137
628,-0.5525296,0.65151584
629,-0.95050126,0.7620554
630,-1.3509318,0.79427916
631,-0.97072524,0.64885885
632,-1.4053217,0.89141387
633,-1.1421512,0.6999545
634,-1.8812563,0.89590335
635,-1.2487584,0.73543537
636,-0.87403995,0.6818483
637,-1.0502247,0.70394707
638,-2.2577477,0.89296687
639,-0.7468075,0.69985867
640,-1.5026075,0.7944151
641,-0.9954773,0.7518076
642,-2.7698004,0.94264233
643,-0.8726752,0.66337407
644,-0.98451513,0.6694197
645,-0.5498037,0.7469074
646,-0.95461816,0.70638895
647,-1.5755005,0.7296067
648,-1.1789331,0.72585034
649,-1.9916738,0.7637083
650,-0.89811784,0.6891537
651,-1.9786049,0.83891
652,-0.7454524,0.67481935
653,-0.9404824,0.7658575
654,-1.0805721,0.69412947
655,-0.98031664,0.76658064
656,-0.6306084,0.59679824
657,-1.4147314,0.87448895
658,-1.0809906,0.8022544
659,-0.9652479,0.77392983
660,-0.90092856,0.72878873
661,-0.6180588,0.86871463
662,-1.1863346,0.7351672
663,-0.8559543,0.6473313
664,-1.2010576,0.63873106
665,-1.2460558,0.7657893
666,-1.2322825,0.702253
667,-1.2248731,0.6458215
668,-1.1712047,0.7256592
669,-1.3522998,0.72339267
670,-1.8540257,0.694452
671,-1.5558211,0.75067365
672,-1.0762061,0.7093047
673,-0.7093681,0.7476184
674,-0.91329527,0.76423514
675,-0.6618642,0.7503177
676,-1.7972157,0.91753876
677,-0.93968153,0.6706514
678,-2.674683,0.8575243
679,-2.1434429,0.87682253
680,-2.1107507,0.8522611
